idporto,locode,nome,localita,tipo_amministrazione_porto,rilievo_nazionale,rilevanza_nazionale,caso_speciale,note_caso_speciale,lat,lon
16079,ITROM,Roma,Roma,TERRITORIALE,NO,NO,NO,,,
16073,ITRDA,Roseto Degli Abbruzzi,Roseto Degli Abbruzzi,TERRITORIALE,NO,NO,NO,,42.6833333333,14.0166666667
18333,ITGSV,Rosignano Solvay,Rosignano Solvay,TERRITORIALE,NO,NO,NO,,,
17319,ITSDB,San Benedetto Del Tronto,San Benedetto Del Tronto,NAZIONALE,NO,SI,NO,,42.956425,13.8886361111
16098,ITSAL,Salerno,Salerno,NAZIONALE,SI,SI,SI,Mantiene autonomia finanziaria ed amministrativa fino al 31/12/2017,40.6740666667,14.7464611111
17354,ITSLC,Saline,Saline,TERRITORIALE,NO,NO,NO,,37.95,15.7
56971,ITSI6,Sammichele,Sammichele,TERRITORIALE,NO,NO,NO,,,
15923,ITNCT,San Cataldo,San Cataldo,TERRITORIALE,NO,NO,NO,,40.3833333333,18.3
16858,ITSFE,San Felice Circeo,San Felice Circeo,TERRITORIALE,NO,NO,NO,,41.2333333333,13.0833333333
37582,ITsg7,San Giuseppe,San Giuseppe,TERRITORIALE,NO,NO,NO,,,
17356,ITSNP,San Pietro,San Pietro,TERRITORIALE,SI,NO,NO,,,
16146,ITSRE,San Remo,San Remo,NAZIONALE,NO,NO,NO,,,
56967,ITQER,San Rocco di Guastalla,San Rocco Di Guastalla,TERRITORIALE,NO,NO,NO,,,
16151,ITSVC,San Vito lo Capo,San Vito Lo Capo,TERRITORIALE,NO,NO,NO,,,
17320,ITSFM,Santa Foca di Melendugno,Santa Foca Di Melendugno,TERRITORIALE,NO,NO,NO,,40.2666666667,18.3333333333
16113,ITSML,Santa Margherita Ligure,Santa Margherita Ligure,NAZIONALE,NO,NO,NO,,,
16854,ITAMN,Santa Maria Navarrese,Santa Maria Navarrese,TERRITORIALE,NO,NO,NO,,39.9833333333,9.6833333333
17355,ITSMK,Santa Maria di Castellabate,Santa Maria Di Castellabate,TERRITORIALE,NO,NO,NO,,40.2833333333,14.95
16109,ITSLA,Santa Marina Salina,Santa Marina Salina,TERRITORIALE,NO,NO,NO,,38.5666666667,14.8666666667
16112,ITSMA,Santa Marinella,Santa Marinella,TERRITORIALE,NO,NO,NO,,42.0333333333,11.8333333333
16144,ITSPA,Santa Panagia,Santa Panagia,NAZIONALE,NO,NO,NO,,37.1,15.25
16149,ITSTE,Santa Teresa di Gallura,Santa Teresa Di Gallura,NAZIONALE,SI,SI,NO,,41.2369277778,9.1944944444
16148,ITSSF,Santo Stefano al Mare,Santo Stefano Al Mare,TERRITORIALE,NO,NO,NO,,43.8333333333,7.8833333333
16916,ITTEF,Santo Stefano di Camastra,Santo Stefano Di Camastra,TERRITORIALE,NO,NO,NO,,38.0166666667,14.35
16034,ITPRH,Sapri,Sapri,TERRITORIALE,NO,NO,NO,,40.05,15.6166666667
15953,ITPFX,Sarroch (Porto Foxi),Sarroch (porto Foxi),NAZIONALE,NO,SI,NO,,39.0895166667,9.027575
16152,ITSVN,Savona,Savona,NAZIONALE,NO,SI,NO,,44.3101527778,8.4904638889
16325,ITLEA,Scalea,Scalea,TERRITORIALE,NO,NO,NO,,39.8,15.7833333333
16147,ITSRH,Scario,Scario,TERRITORIALE,SI,NO,NO,,40.05,15.4833333333
16187,ITURI,Scauri,Scauri,TERRITORIALE,SI,NO,NO,,41.25,13.7
